Row Labels,Count of Application
/sdev/ccadmin/sbin/Arch/suid_dispatch,940
/sdev/user/bin/Arch/suid_dispatch,4
/sdev/user/sbin/Arch/suid_dispatch,7
upload_xml_data,940
/sdev/ccadmin/sbin/Arch/common/upload_xml_data,940
python3.12,929
/home/cadappl_RHEL8/python3/3.12.6/python3/bin/python3.12,903
/usr/bin/python3.12,26
default-linux,926
/buildstore/_bazel_rmahendr/1a542c6378d172af3aab2f84ceeed936/external/rules_toolchain_ddgen_default_linux/default-linux,926
ratlperl,853
/opt/hcl/ccm/common/linux_x86_64/bin/ratlperl,853
gio,805
/usr/bin/gio,805
ccset_view,720
/sdev/user/bin/ccset_view,720
userhelper,673
/usr/sbin/userhelper,673
java,655
/buildstore/.cache/bazel/_bazel_jonispe1/install/8d5f50e28a91af5bb7169f1a7a6e173a/embedded_tools/jdk/bin/java,35
/buildstore/.cache/bazel/_bazel_jonispe1/install/b8a069f8b7ab718c13dbfa7ea3667622/embedded_tools/jdk/bin/java,37
/buildstore/.cache/bazel/estapel/_bazel_estapel/install/8d5f50e28a91af5bb7169f1a7a6e173a/embedded_tools/jdk/bin/java,18
/buildstore/.cache/bazel/estapel/_bazel_estapel/install/b8a069f8b7ab718c13dbfa7ea3667622/embedded_tools/jdk/bin/java,4
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/install/8d5f50e28a91af5bb7169f1a7a6e173a/embedded_tools/jdk/bin/java,26
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/install/eb6bebcb4f9bcd23452d653bb61ca1b0/embedded_tools/jdk/bin/java,2
/buildstore/.vscode/extensions/tiobesoftwarebv.idevscode-2024.5.5/jre-17/linux_x64/bin/java,56
/buildstore/.vscode/extensions/tiobesoftwarebv.idevscode-2024.6.0/jre-17/linux_x64/bin/java,11
/buildstore/_bazel_btorres/install/8d5f50e28a91af5bb7169f1a7a6e173a/embedded_tools/jdk/bin/java,18
/buildstore/_bazel_omhassan/install/5229af5fe4e43869fa475e361effe116/embedded_tools/jdk/bin/java,1
/buildstore/_bazel_omhassan/install/8d5f50e28a91af5bb7169f1a7a6e173a/embedded_tools/jdk/bin/java,79
/buildstore/_bazel_rmahendr/install/8d5f50e28a91af5bb7169f1a7a6e173a/embedded_tools/jdk/bin/java,110
/buildstore/_bazel_rmahendr/install/b8a069f8b7ab718c13dbfa7ea3667622/embedded_tools/jdk/bin/java,9
/buildstore/cache/bazel/_bazel_rmahendr/install/b8a069f8b7ab718c13dbfa7ea3667622/embedded_tools/jdk/bin/java,2
/buildstore/estapel_at_qbl_P984675_29_10A_int/cache/bazel-user-cache/install/8d5f50e28a91af5bb7169f1a7a6e173a/embedded_tools/jdk/bin/java,1
/home/cadappl_RHEL8/openjdk/19.0.1/openjdk/bin/java,175
/home/rmahendr/.vscode/extensions/tiobesoftwarebv.idevscode-2024.5.5/jre-17/linux_x64/bin/java,16
/home/tderove/.vscode/extensions/tiobesoftwarebv.idevscode-2024.5.5/jre-17/linux_x64/bin/java,4
/usr/lib/jvm/java-11-openjdk-11.0.25.0.9-2.el8.x86_64/bin/java,14
/usr/lib/jvm/java-17-openjdk-17.0.18.0.8-1.el8.x86_64/bin/java,25
/usr/lib/jvm/java-17-openjdk-17.0.19.0.10-1.el8.x86_64/bin/java,12
mandb,649
/usr/bin/mandb,649
run-parts,615
/usr/bin/run-parts,615
anacron,615
/usr/sbin/anacron,615
man-db.cron,614
/etc/cron.daily/man-db.cron,614
insights-client,587
/usr/bin/insights-client,587
ln,580
/usr/bin/ln,580
ccget_clnoid,527
/sdev/user/sbin/ccget_clnoid,527
ccget_cln_attr_value,527
/sdev/user/sbin/ccget_cln_attr_value,527
git-lfs,521
/home/cadappl_RHEL8/git-lfs/3.6.1/git-lfs/bin/git-lfs,11
/home/cadappl_RHEL8/git-lfs/3.7.1/git-lfs/bin/git-lfs,510
code,511
/usr/share/code/code,511
ccssh,509
/sdev/user/bin/ccssh,509
bazel,479
/buildstore/.cache/bazelisk/downloads/sha256/61d89402f0368e64b6c827be5de79d8e65382e8124c3cbb97325611a1851392e/bin/bazel,20
/buildstore/.cache/bazelisk/downloads/sha256/9860da9c9386bbc023feed8f43af3105d338727d77b644fa6aeca45a4a11957c/bin/bazel,27
/buildstore/bin/bazel,119
/buildstore/cache/bazelisk/downloads/sha256/61d89402f0368e64b6c827be5de79d8e65382e8124c3cbb97325611a1851392e/bin/bazel,11
/buildstore/cache/bazelisk/downloads/sha256/9860da9c9386bbc023feed8f43af3105d338727d77b644fa6aeca45a4a11957c/bin/bazel,89
/home/btorres/.cache/bazelisk/downloads/sha256/9860da9c9386bbc023feed8f43af3105d338727d77b644fa6aeca45a4a11957c/bin/bazel,14
/home/btorres/.yat/bin/bazel,10
/home/estapel/.cache/bazelisk/downloads/sha256/9860da9c9386bbc023feed8f43af3105d338727d77b644fa6aeca45a4a11957c/bin/bazel,17
/home/jonispe1/bin/bazel,27
/home/omhassan/.cache/bazelisk/downloads/sha256/9860da9c9386bbc023feed8f43af3105d338727d77b644fa6aeca45a4a11957c/bin/bazel,57
/home/omhassan/.cache/bazelisk/downloads/sha256/a667454f3f4f8878df8199136b82c199f6ada8477b337fae3b1ef854f01e4e2f/bin/bazel,1
/home/omhassan/bin/bazel,60
/sdev_shared/fc028data/sequencing_team/user/joblooij/vscode-cache/bazelisk/downloads/sha256/4dc8e99dfa802e252dac176d08201fd15c542ae78c448c8a89974b6f387c282c/bin/bazel,2
/sdev_shared/fc028data/sequencing_team/user/joblooij/vscode-cache/bazelisk/downloads/sha256/9860da9c9386bbc023feed8f43af3105d338727d77b644fa6aeca45a4a11957c/bin/bazel,25
ldapsearch,448
/usr/bin/ldapsearch,448
alternatives,448
/usr/sbin/alternatives,448
ccsysteminfo.bash,384
/sdev/ccadmin/cccqinstall/bin/ccsysteminfo.bash,384
rpmbuild,367
/boa_prd/jonispe1/generic-motion-hardware-abstraction-test/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_4_14_3_rpmbuild_4_14_3_rhel8_tar_gz/rpmbuild_4.14.3/rpmbuild,18
/boa_prd/jonispe1/generic-motion-hardware-abstraction-test/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_5_1_9_rpmbuild_5_1_9_wrl6_tar_gz/rpmbuild_5.1.9/rpmbuild,21
/buildstore/FC-025-0301A/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_4_14_3_rpmbuild_4_14_3_rhel8_tar_gz/rpmbuild_4.14.3/rpmbuild,2
/buildstore/FC-025-0301A/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_5_1_9_rpmbuild_5_1_9_wrl6_tar_gz/rpmbuild_5.1.9/rpmbuild,1
/buildstore/git/fc/grpc/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_4_14_3_rpmbuild_4_14_3_rhel8_tar_gz/rpmbuild_4.14.3/rpmbuild,109
/buildstore/git/fc/grpc/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_5_1_9_rpmbuild_5_1_9_wrl6_tar_gz/rpmbuild_5.1.9/rpmbuild,65
/buildstore/git/fc/reticle-masking_duv-1e/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_4_14_3_rpmbuild_4_14_3_rhel8_tar_gz/rpmbuild_4.14.3/rpmbuild,17
/buildstore/git/fc/reticle-masking_duv-1e/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_5_1_9_rpmbuild_5_1_9_wrl6_tar_gz/rpmbuild_5.1.9/rpmbuild,17
/buildstore/git/fc/system-dynamics-peripherals/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_4_14_3_rpmbuild_4_14_3_rhel8_tar_gz/rpmbuild_4.14.3/rpmbuild,20
/buildstore/git/fc/system-dynamics-peripherals/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_5_1_9_rpmbuild_5_1_9_wrl6_tar_gz/rpmbuild_5.1.9/rpmbuild,16
/buildstore/git/group_latestbaseline/system-dynamics-peripherals/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_4_14_3_rpmbuild_4_14_3_rhel8_tar_gz/rpmbuild_4.14.3/rpmbuild,2
/buildstore/git/group_latestbaseline/system-dynamics-peripherals/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_5_1_9_rpmbuild_5_1_9_wrl6_tar_gz/rpmbuild_5.1.9/rpmbuild,23
/buildstore/git/test200a/system-dynamics-peripherals/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_4_14_3_rpmbuild_4_14_3_rhel8_tar_gz/rpmbuild_4.14.3/rpmbuild,17
/buildstore/git/test200a/system-dynamics-peripherals/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_5_1_9_rpmbuild_5_1_9_wrl6_tar_gz/rpmbuild_5.1.9/rpmbuild,11
/buildstore/scmc/worktrees/BB-040-0025A/tmp/pact_cache/tools/https___artifactory-de_asml_com_artifactory_packaging-generic-prd-local_rpmbuild_5_1_9_rpmbuild_5_1_9_wrl6_tar_gz/rpmbuild_5.1.9/rpmbuild,6
/home/cadappl_RHEL6/wrlinux-x86/4.2/wrlinux-x86/wrlinux-4/layers/ldat-tools/host-tools-x86_64/lib64/rpm/rpmbuild,22
ksh93,354
/usr/bin/ksh93,354
crond,343
/usr/sbin/crond,343
checkmounts,341
/usr/local/sbin/checkmounts,341
certutil,328
/usr/bin/certutil,328
update-desktop-database,326
/usr/bin/update-desktop-database,326
systemd,313
/usr/lib/systemd/systemd,313
make,301
/usr/bin/make,301
starship,263
/home/btorres/.local/bin/starship,22
/home/joblooij/bin/starship,3
/home/rschulz/.local/bin/starship,238
rsync,247
/usr/bin/rsync,247
uberAgent,244
/usr/sbin/uberAgent,244
daemonize,241
/buildstore/.cache/bazel/_bazel_jonispe1/install/8d5f50e28a91af5bb7169f1a7a6e173a/daemonize,20
/buildstore/.cache/bazel/_bazel_jonispe1/install/b8a069f8b7ab718c13dbfa7ea3667622/daemonize,19
/buildstore/.cache/bazel/estapel/_bazel_estapel/install/8d5f50e28a91af5bb7169f1a7a6e173a/daemonize,14
/buildstore/.cache/bazel/estapel/_bazel_estapel/install/b8a069f8b7ab718c13dbfa7ea3667622/daemonize,3
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/install/8d5f50e28a91af5bb7169f1a7a6e173a/daemonize,23
/buildstore/.cache/bazel/joblooij/_bazel_joblooij/install/eb6bebcb4f9bcd23452d653bb61ca1b0/daemonize,2
/buildstore/_bazel_btorres/install/8d5f50e28a91af5bb7169f1a7a6e173a/daemonize,13
/buildstore/_bazel_omhassan/install/8d5f50e28a91af5bb7169f1a7a6e173a/daemonize,47
/buildstore/_bazel_rmahendr/install/8d5f50e28a91af5bb7169f1a7a6e173a/daemonize,88
/buildstore/_bazel_rmahendr/install/b8a069f8b7ab718c13dbfa7ea3667622/daemonize,9
/buildstore/cache/bazel/_bazel_rmahendr/install/b8a069f8b7ab718c13dbfa7ea3667622/daemonize,2
/buildstore/estapel_at_qbl_P984675_29_10A_int/cache/bazel-user-cache/install/8d5f50e28a91af5bb7169f1a7a6e173a/daemonize,1
dbus-daemon,234
/usr/bin/dbus-daemon,234
pdm,230
/home/btorres/.local/share/pipx/venvs/pdm/bin/pdm,230
podman,229
/usr/bin/podman,229
ldconfig,220
/usr/sbin/ldconfig,220
scp,215
/usr/bin/scp,215
master,199
/usr/libexec/postfix/master,199
sssd_be,189
/usr/libexec/sssd/sssd_be,189
qmgr,177
/usr/libexec/postfix/qmgr,177
python3.8,173
/home/cadappl_RHEL8/python3/3.8.0/python3/bin/python3.8,173
collect_workspace_info_wrapper,171
/sdev/user/share/collect_workspace_info/collect_workspace_info_wrapper,171
firefox-bin,167
/home/cadappl_RHEL7/firefox/118.0.1/firefox/firefox-bin,1
/home/cadappl_RHEL8/firefox/139.0.4/firefox/firefox-bin,1
/home/cadappl_RHEL8/firefox/144.0/firefox/firefox-bin,163
/home/cadappl_RHEL8/firefox/149.0/firefox/firefox-bin,1
/home/rmahendr/firefox/firefox-bin,1
NetworkManager,166
/usr/sbin/NetworkManager,166
firefox.wrapper,164
